product_id,product_name,category,unit_cost,unit_price
PROD0001,Intuitive coherent hardware,Beauty,58.06,180.64
PROD0002,Pre-emptive composite flexibility,Apparel,110.6,274.02
PROD0003,Right-sized coherent throughput,Apparel,25.93,43.58
PROD0004,Multi-layered non-volatile middleware,Home Goods,11.54,34.15
PROD0005,Phased intangible firmware,Apparel,91.36,244.35
PROD0006,Ameliorated well-modulated analyzer,Electronics,6.03,18.97
PROD0007,Versatile tangible infrastructure,Electronics,125.37,223.44
PROD0008,Re-engineered interactive extranet,Footwear,29.73,51.44
PROD0009,Optional reciprocal algorithm,Apparel,47.72,111.88
PROD0010,Customizable incremental frame,Electronics,66.5,127.96
PROD0011,Grass-roots static challenge,Apparel,92.94,153.45
PROD0012,Up-sized disintermediate success,Electronics,45.95,94.63
PROD0013,Organized 24/7 artificial intelligence,Home Goods,70.04,197.04
PROD0014,Visionary secondary frame,Footwear,32.35,75.23
PROD0015,Cloned global hierarchy,Beauty,90.08,133.64
PROD0016,Cloned user-facing analyzer,Sporting Goods,92.31,157.57
PROD0017,Virtual grid-enabled time-frame,Sporting Goods,12.56,39.04
PROD0018,Customizable leadingedge matrix,Beauty,144.95,413.85
PROD0019,Managed methodical migration,Footwear,47.78,75.29
PROD0020,Multi-tiered attitude-oriented projection,Home Goods,103.58,227.08
PROD0021,Distributed disintermediate hub,Beauty,20.94,47.98
PROD0022,Stand-alone systemic middleware,Home Goods,8.06,24.48
PROD0023,Organized homogeneous implementation,Footwear,41.04,106.4
PROD0024,Diverse hybrid pricing structure,Electronics,48.82,114.05
PROD0025,Business-focused optimal artificial intelligence,Home Goods,83.37,144.46
PROD0026,Configurable reciprocal Internet solution,,145.53,406.79
PROD0027,Front-line zero administration concept,Electronics,141.11,424.84
PROD0028,Focused human-resource throughput,,90.89,278.07
PROD0029,Visionary cohesive hub,Beauty,16.01,28.06
PROD0030,Ergonomic leadingedge moderator,Beauty,9.65,19.16
PROD0031,Optional didactic alliance,Apparel,60.14,113.57
PROD0032,Organized analyzing capability,Home Goods,124.82,254.9
PROD0033,Self-enabling responsive database,Apparel,44.3,105.29
PROD0034,Vision-oriented static success,Apparel,23.72,67.46
PROD0035,Decentralized systematic system engine,Footwear,13.96,44.34
PROD0036,Vision-oriented zero administration infrastructure,Sporting Goods,116.52,204.81
PROD0037,User-friendly next generation neural-net,Beauty,3.81,10.93
PROD0038,Robust local moderator,Sporting Goods,106.91,289.96
PROD0039,Business-focused dynamic encryption,Electronics,116.38,178.44
PROD0040,Switchable transitional system engine,,55.69,89.58
PROD0041,Devolved discrete attitude,Footwear,129.88,327.55
PROD0042,Optimized fault-tolerant orchestration,,51.64,78.2
PROD0043,Mandatory national initiative,,48.71,96.71
PROD0044,Function-based zero-defect orchestration,Electronics,110.25,280.87
PROD0045,Compatible modular alliance,Apparel,133.42,300.19
PROD0046,Inverse neutral utilization,Footwear,20.58,55.23
PROD0047,Advanced didactic approach,Apparel,114.84,276.8
PROD0048,Polarized bandwidth-monitored success,Accessories,116.33,266.26
PROD0049,Implemented intangible analyzer,,79.84,173.22
PROD0050,Customizable 5thgeneration process improvement,Footwear,6.74,10.74
PROD0051,Seamless grid-enabled migration,Sporting Goods,7.62,19.4
PROD0052,Phased composite flexibility,Home Goods,49.21,113.94
PROD0053,Implemented asymmetric throughput,,136.41,252.18
PROD0054,Cross-group responsive artificial intelligence,Footwear,63.33,174.79
PROD0055,Virtual dynamic orchestration,Sporting Goods,36.63,56.36
PROD0056,Polarized uniform emulation,Footwear,45.59,77.06
PROD0057,Advanced didactic archive,Footwear,139.67,398.7
PROD0058,Centralized holistic attitude,Beauty,96.11,285.31
PROD0059,Re-engineered human-resource task-force,Sporting Goods,121.14,210.28
PROD0060,Public-key attitude-oriented time-frame,Sporting Goods,134.21,318.19
PROD0061,Integrated user-facing interface,Sporting Goods,121.69,366.65
PROD0062,Versatile optimal solution,Footwear,49.75,79.51
PROD0063,Customizable 24/7 intranet,Footwear,36.51,79.18
PROD0064,Universal human-resource firmware,,123.25,363.5
PROD0065,Front-line upward-trending circuit,Sporting Goods,4.02,9.32
PROD0066,Open-architected demand-driven benchmark,,64.36,115.83
PROD0067,Horizontal contextually-based firmware,Beauty,20.62,41.4
PROD0068,Face-to-face national circuit,Home Goods,141.61,280.64
PROD0069,Sharable coherent extranet,Home Goods,79.26,211.26
PROD0070,Universal even-keeled contingency,Accessories,56.45,177.77
PROD0071,Re-engineered full-range benchmark,Sporting Goods,144.48,267.75
PROD0072,Multi-layered disintermediate moratorium,Footwear,76.1,147.75
PROD0073,Innovative bandwidth-monitored analyzer,,44.87,65.8
PROD0074,Vision-oriented context-sensitive function,Apparel,92.61,213.45
PROD0075,Assimilated radical matrices,Beauty,10.57,20.1
PROD0076,Intuitive contextually-based success,Apparel,136.52,250.0
PROD0077,Object-based 4thgeneration solution,Beauty,24.3,55.43
PROD0078,Object-based incremental hub,Home Goods,147.89,271.48
PROD0079,Team-oriented encompassing support,Beauty,101.8,282.08
PROD0080,Extended bottom-line attitude,Home Goods,37.93,102.82
PROD0081,Face-to-face scalable strategy,Electronics,57.06,144.83
PROD0082,Visionary 24hour process improvement,Beauty,96.13,227.29
PROD0083,Open-source disintermediate intranet,Footwear,16.27,47.24
PROD0084,Polarized explicit approach,Beauty,50.15,87.05
PROD0085,Visionary static product,Sporting Goods,8.99,22.15
PROD0086,Configurable real-time task-force,Beauty,102.6,146.7
PROD0087,Fundamental context-sensitive complexity,,78.28,141.51
PROD0088,Profound heuristic capacity,Accessories,97.84,167.68
PROD0089,Enhanced 5thgeneration function,Beauty,104.57,219.19
PROD0090,Exclusive discrete strategy,Home Goods,140.7,231.81
PROD0091,Advanced scalable ability,Beauty,53.14,85.25
PROD0092,Networked context-sensitive emulation,Home Goods,138.93,413.9
PROD0093,Centralized foreground algorithm,Home Goods,40.92,105.9
PROD0094,Future-proofed leadingedge moratorium,Accessories,123.13,295.43
PROD0095,Devolved methodical matrix,Electronics,80.86,148.41
PROD0096,Exclusive fault-tolerant support,Accessories,16.69,50.32
PROD0097,Monitored maximized standardization,Sporting Goods,135.36,343.76
PROD0098,Exclusive upward-trending productivity,Sporting Goods,52.84,107.19
PROD0099,Horizontal interactive service-desk,Accessories,109.72,330.78
PROD0100,Intuitive client-server success,Footwear,133.4,374.02
PROD0101,Optional mission-critical support,,97.38,151.08
PROD0102,Streamlined static function,,26.76,80.75
PROD0103,Secured radical neural-net,Beauty,92.15,130.54
PROD0104,Programmable dynamic Graphical User Interface,Apparel,17.92,46.49
PROD0105,Up-sized user-facing array,Footwear,3.74,6.32
PROD0106,Secured radical capability,Beauty,83.66,221.32
PROD0107,Organized leadingedge encryption,Electronics,98.84,178.28
PROD0108,Persistent intermediate initiative,Sporting Goods,107.69,196.75
PROD0109,Advanced interactive concept,Sporting Goods,50.83,139.46
PROD0110,Multi-layered radical database,,98.5,288.47
PROD0111,Vision-oriented logistical matrix,Home Goods,99.67,241.5
PROD0112,Diverse executive functionalities,Apparel,16.77,34.58
PROD0113,Organized executive firmware,Home Goods,41.98,77.21
PROD0114,Decentralized grid-enabled database,Apparel,146.03,307.77
PROD0115,Seamless homogeneous infrastructure,Accessories,134.13,340.16
PROD0116,Automated multi-tasking time-frame,Beauty,119.84,276.2
PROD0117,Open-source 6thgeneration toolset,Home Goods,87.8,200.76
PROD0118,Integrated multimedia policy,Accessories,31.7,85.6
PROD0119,Re-engineered eco-centric ability,,44.27,63.92
PROD0120,Sharable asynchronous open architecture,Accessories,97.88,168.24
PROD0121,Multi-lateral background frame,,141.25,440.29
PROD0122,Vision-oriented optimal interface,Sporting Goods,137.49,284.09
PROD0123,Quality-focused logistical core,Sporting Goods,5.27,16.18
PROD0124,Object-based needs-based support,Home Goods,65.94,207.05
PROD0125,Total real-time frame,Electronics,144.65,424.61
PROD0126,Intuitive homogeneous array,Beauty,46.28,96.87
PROD0127,Programmable real-time secured line,Footwear,128.12,252.46
PROD0128,Cloned value-added encoding,Beauty,27.92,67.07
PROD0129,Horizontal regional superstructure,Apparel,140.61,373.02
PROD0130,Exclusive transitional array,Accessories,86.8,136.7
PROD0131,Up-sized homogeneous leverage,Beauty,93.41,297.24
PROD0132,Multi-layered fresh-thinking standardization,Accessories,23.59,55.04
PROD0133,Assimilated secondary database,Beauty,131.97,360.72
PROD0134,Visionary stable benchmark,Electronics,105.46,281.0
PROD0135,Adaptive reciprocal customer loyalty,Sporting Goods,55.85,107.7
PROD0136,Progressive zero-defect moratorium,Footwear,121.98,348.64
PROD0137,Profound contextually-based process improvement,Home Goods,130.46,397.1
PROD0138,Multi-lateral homogeneous core,Apparel,78.17,180.0
PROD0139,Persevering regional leverage,,120.35,309.29
PROD0140,Focused value-added system engine,Home Goods,106.19,300.78
PROD0141,Open-architected web-enabled matrix,Apparel,133.83,268.78
PROD0142,Progressive non-volatile secured line,,58.21,91.34
PROD0143,Programmable next generation throughput,Accessories,88.01,128.91
PROD0144,Ameliorated bandwidth-monitored paradigm,Apparel,71.44,169.8
PROD0145,Open-source cohesive conglomeration,,45.12,111.15
PROD0146,Expanded bandwidth-monitored firmware,Home Goods,7.48,10.97
PROD0147,De-engineered bi-directional attitude,Accessories,123.92,253.83
PROD0148,Switchable context-sensitive groupware,,21.68,50.73
PROD0149,Front-line encompassing access,,116.19,207.8
PROD0150,Grass-roots empowering flexibility,,94.56,146.91
PROD0151,Self-enabling explicit ability,,10.6,24.98
PROD0152,Persevering clear-thinking system engine,Footwear,82.47,210.08
PROD0153,Cross-group asynchronous support,Footwear,109.74,346.4
PROD0154,Decentralized context-sensitive functionalities,Electronics,78.9,156.33
PROD0155,Reverse-engineered homogeneous toolset,Accessories,119.89,226.29
PROD0156,Object-based local orchestration,Beauty,67.53,104.08
PROD0157,Vision-oriented tertiary help-desk,Accessories,6.73,21.08
PROD0158,Open-source bandwidth-monitored capability,,125.89,333.96
PROD0159,Extended reciprocal core,Sporting Goods,63.12,108.06
PROD0160,Universal grid-enabled encoding,Home Goods,26.0,48.11
PROD0161,Balanced asynchronous paradigm,Apparel,83.74,224.95
PROD0162,Extended zero tolerance initiative,Apparel,100.05,190.48
PROD0163,Extended didactic paradigm,Apparel,143.37,391.14
PROD0164,Managed optimizing matrix,,84.49,211.32
PROD0165,Versatile high-level leverage,Footwear,64.68,119.39
PROD0166,Phased motivating policy,Accessories,55.33,152.94
PROD0167,Versatile mission-critical toolset,Footwear,5.12,8.24
PROD0168,Synergized modular structure,Apparel,9.76,14.38
PROD0169,Networked bi-directional concept,Accessories,128.75,343.32
PROD0170,Organic zero-defect instruction set,Electronics,72.7,114.58
PROD0171,Multi-lateral bifurcated throughput,Accessories,75.27,169.53
PROD0172,Function-based system-worthy policy,Home Goods,28.46,62.07
PROD0173,Diverse fault-tolerant superstructure,Electronics,61.58,154.48
PROD0174,Customer-focused 24hour approach,Electronics,96.36,142.76
PROD0175,Re-engineered incremental portal,,58.07,146.72
PROD0176,Automated 3rdgeneration flexibility,Home Goods,76.96,226.39
PROD0177,Configurable multimedia architecture,Apparel,99.83,169.04
PROD0178,Self-enabling disintermediate installation,Beauty,13.37,34.18
PROD0179,Open-source client-server alliance,,6.9,16.94
PROD0180,Open-source human-resource interface,,141.21,343.97
PROD0181,Cross-group 24hour concept,,60.06,153.63
PROD0182,Versatile 6thgeneration artificial intelligence,Footwear,70.36,167.61
PROD0183,Cross-group tangible knowledge user,Sporting Goods,141.4,296.23
PROD0184,Future-proofed high-level budgetary management,Footwear,144.3,437.18
PROD0185,Synergistic value-added middleware,,31.78,48.46
PROD0186,Stand-alone multi-tasking system engine,Footwear,17.81,25.52
PROD0187,Reduced dynamic firmware,Sporting Goods,16.88,44.38
PROD0188,Organized logistical definition,Beauty,13.46,26.57
PROD0189,Compatible analyzing benchmark,Sporting Goods,127.2,183.41
PROD0190,Configurable upward-trending algorithm,Beauty,122.73,234.09
PROD0191,Open-architected actuating ability,Sporting Goods,20.37,54.06
PROD0192,Focused 24hour synergy,Sporting Goods,95.45,284.39
PROD0193,Progressive full-range paradigm,,111.06,316.11
PROD0194,Phased directional matrices,Sporting Goods,44.46,76.44
PROD0195,Balanced human-resource budgetary management,Electronics,113.34,323.28
PROD0196,Enhanced even-keeled Graphic Interface,Apparel,148.6,318.41
PROD0197,Multi-layered heuristic budgetary management,Sporting Goods,57.69,161.39
PROD0198,Reduced high-level architecture,Home Goods,53.1,163.3
PROD0199,Face-to-face zero tolerance support,Home Goods,129.19,280.63
PROD0200,De-engineered cohesive project,Electronics,113.38,312.72
PROD0201,Devolved intangible Internet solution,Electronics,18.16,54.93
PROD0202,Managed 6thgeneration portal,Apparel,77.27,223.13
